ID,Название,Status,Вердикт,Энтропия_Шеннона,Энтропия_Перестановок,Фрактал_Размерность_GP,Асимметрия_Сдвига,Эксцесс_Хвостов,Автокорреляция_Лаг1,Херст_Хаотичность,Радиус_Облака,Коэф_Сдвига_Аномалий,Доля_Оси_X,Доля_Оси_Y,Доля_Оси_Z,Сила_Закрутки_Ротора,Индекс_Сквозных_Дыр,Коэф_Ветвления,Частота_Фурье
A000324,"A nonlinear recurrence: a(0) = 1, a(1) = 5, a(n) = a(n-1)^2 - 4*a(n-1) + 4 for n>1.",Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000325,a(n) = 2^n - n.,Успешно,Строгий кристаллический тренд,4.9375,-0.0,0.0,3.8691,14.7687,1.0,0.6128,263793637.74,15.5,1.0,0.0,0.0,1766493239.87,0.0,1.0,1.0
A000326,Pentagonal numbers: a(n) = n*(3*n-1)/2.,Успешно,Строгий кристаллический тренд,5.5546,-0.0,0.0,0.6535,-0.8424,0.9999,0.7809,1369.97,1.99,0.9915,0.0085,0.0,7516.35,0.0002,1.0,1.0
A000327,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,5.4919,-0.0,0.0,0.9985,-0.2222,0.9999,0.7714,6066.08,2.76,0.9911,0.0087,0.0002,155219.72,0.0,0.9999,1.0
A000328,Number of points of norm <= n^2 in square lattice.,Успешно,Строгий кристаллический тренд,5.5546,-0.0,0.0,0.6509,-0.8458,0.9999,0.781,2883.62,2.0,0.9895,0.0086,0.0019,71133.75,0.0001,0.982,1.0
A000329,"Nearest integer to b(n), where b(n) = tan(b(n-1)), b(0) = 1.",Успешно,Аномальный Сдвиг / Выброс,2.9117,1.9941,0.0,4.1806,28.4989,0.0034,0.5636,10.08,12.72,0.3354,0.3336,0.331,269.71,0.0132,-0.4922,1.0
A000330,Square pyramidal numbers: a(n) = 0^2 + 1^2 + 2^2 + ... + n^2 = n*(n+1)*(2*n+1)/6.,Успешно,Строгий кристаллический тренд,5.4919,-0.0,0.0,1.0563,-0.1006,0.9999,0.7701,11704.46,2.9,0.9905,0.0094,0.0001,604884.59,0.0,0.9999,1.0
A000331,Related to zeros of Bessel function.,Успешно,Строгий кристаллический тренд,4.3923,-0.0,0.0,4.2485,16.05,0.9979,0.492,2.9058424966589524e+41,20.0,1.0,0.0,0.0,1.1138935279976876e+77,0.0,0.9976,1.0
A000332,"Binomial coefficient binomial(n,4) = n*(n-1)*(n-2)*(n-3)/24.",Успешно,Строгий кристаллический тренд,5.2776,-0.0,0.0,1.4452,0.9623,0.9999,0.7567,43432.45,4.0,0.9895,0.0104,0.0001,10568142.87,0.0,0.9999,1.0
A000333,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,5.0875,-0.0,0.0,3.4567,11.7216,1.0,0.642,1190872516.48,13.17,0.997,0.003,0.0,9711878015452008.0,0.0,1.0,1.0
A000334,Number of 4-dimensional partitions of n.,Успешно,Строгий кристаллический тренд,4.9069,-0.0,0.0,3.8119,14.2224,1.0,0.6083,12890142166.11,14.99,0.9984,0.0016,0.0,8.084643615844374e+17,0.0,1.0,1.0
A000335,Euler transform of A000292.,Успешно,Строгий кристаллический тренд,5.0444,-0.0,0.0,4.002,15.8544,1.0,0.6096,113305024751.82,16.36,0.9984,0.0016,0.0,6.360945340555908e+19,0.0,1.0,1.0
A000336,"a(n) = a(n-1)*a(n-2)*a(n-3)*a(n-4); for n < 5, a(n) = n.",Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000337,a(n) = (n-1)*2^n + 1.,Успешно,Строгий кристаллический тренд,5.0,-0.0,0.0,3.9546,15.4328,1.0,0.6085,7658017682.61,16.02,0.9996,0.0004,0.0,7.612677734062992e+16,0.0,1.0,1.0
A000338,Expansion of x^3*(5-2*x)*(1-x^3)/(1-x)^4.,Успешно,Строгий кристаллический тренд,5.6724,-0.0,0.0,0.6243,-0.8748,1.0,0.7856,5115.71,1.94,0.9929,0.0071,0.0,86955.57,0.0001,1.0,1.0
A000339,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,5.2479,-0.0,0.0,1.33,0.6199,0.9999,0.7508,69750.13,3.66,0.9891,0.0108,0.0001,31606044.86,0.0,0.9999,1.0
A000340,"a(0)=1, a(n) = 3*a(n-1) + n + 1.",Успешно,Строгий кристаллический тренд,4.6439,-0.0,0.0,4.0209,15.3574,1.0,0.5675,73141384977.29,16.0,1.0,0.0,0.0,368259792990.9,0.0,1.0,1.0
A000341,Number of ways to pair up {1..2n} so sum of each pair is prime.,Успешно,Строгий кристаллический тренд,4.8074,-0.0,0.0,4.9609,22.7492,0.9999,0.5047,2.11132236595917e+19,24.99,0.999,0.001,0.0,3.1217877296313644e+36,0.0,0.9999,1.0
A000342,Number of n-node rooted trees of height 5.,Успешно,Строгий кристаллический тренд,4.6372,-0.0,0.0,4.1186,16.7326,1.0,0.5997,3192274292.98,17.05,0.9993,0.0007,0.0,2.3513977447260936e+16,0.0,1.0,1.0
A000343,5th power of rooted tree enumerator; number of linear forests of 5 rooted trees.,Успешно,Строгий кристаллический тренд,4.8074,-0.0,0.0,4.2306,17.2689,1.0,0.5724,985325074740.18,17.56,0.9999,0.0001,0.0,2.8905931006477546e+20,0.0,1.0,1.0
A000344,"a(n) = 5*binomial(2n, n-2)/(n+3).",Успешно,Строгий кристаллический тренд,4.7004,-0.0,0.0,4.3535,17.9128,1.0,0.5489,28130715688507.26,18.45,0.9999,0.0001,0.0,4.2882290311156965e+23,0.0,1.0,1.0
A000345,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,6.2095,-0.0,0.0,1.8461,2.4478,1.0,0.7723,108147175.46,5.58,0.9944,0.0056,0.0,27184469483476.45,0.0,1.0,1.0
A000346,"a(n) = 2^(2*n+1) - binomial(2*n+1, n+1).",Успешно,Строгий кристаллический тренд,4.6439,-0.0,0.0,4.2944,17.3135,1.0,0.5446,51049029027908.74,18.02,1.0,0.0,0.0,1.480208461001825e+23,0.0,1.0,1.0
A000347,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,5.2095,-0.0,0.0,2.1474,3.7669,0.9999,0.7148,28010493.06,6.61,0.9898,0.0101,0.0001,7630137890345.67,0.0,0.9999,1.0
A000348,"Number of ways to pair up {1^2, 2^2, ..., (2n)^2 } so sum of each pair is prime.",Успешно,Строгий кристаллический тренд,4.8897,0.431,0.0,5.2394,25.6365,0.9994,0.5082,4.315509534070376e+17,27.52,0.9967,0.0031,0.0002,4.138708098905134e+33,0.0,0.9995,1.0
A000349,One-half the number of permutations of length n with exactly 2 rising or falling successions.,Успешно,Строгий кристаллический тренд,4.3868,-0.0,0.0,4.5735,18.9603,1.0,0.493,3.177292010206642e+20,22.0,0.9999,0.0001,0.0,5.592071457808765e+37,0.0,1.0,1.0
A000350,Numbers m such that Fibonacci(m) ends with m.,Успешно,Строгий кристаллический тренд,5.6724,-0.0,0.0,0.7683,-0.6681,0.9992,0.7795,1221.74,2.43,0.9656,0.0208,0.0135,69270.42,0.0002,0.4536,1.0
A000351,Powers of 5: a(n) = 5^n.,Успешно,Строгий кристаллический тренд,4.585,-0.0,0.0,4.3255,17.3343,1.0,0.5325,1201553520683164.2,18.4,1.0,0.0,0.0,54031519331848.57,0.0,1.0,1.0
A000352,One half of the number of permutations of [n] such that the differences have three runs with the same signs.,Успешно,Строгий кристаллический тренд,4.7004,-0.0,0.0,4.1136,16.1543,1.0,0.5679,1904812256466.37,16.67,1.0,0.0,0.0,1.7519510705280692e+19,0.0,1.0,1.0
A000353,"Primes p == 7, 19, 23 (mod 40) such that (p-1)/2 is also prime.",Успешно,Строгий кристаллический тренд,5.5236,-0.0,0.0,0.3384,-1.0783,0.9977,0.7781,3180.24,4.4,0.9415,0.0345,0.024,1226575.63,0.0001,-0.0929,1.0
A000354,Expansion of e.g.f. exp(-x)/(1-2*x).,Успешно,Строгий кристаллический тренд,4.2219,-0.0,0.0,4.1248,15.0279,1.0,0.4913,4.0542408945729195e+21,18.5,1.0,0.0,0.0,3.395089864650029e+39,0.0,1.0,1.0
A000355,"Primes p == 3, 9, 11 (mod 20) such that 2p+1 is also prime.",Успешно,Строгий кристаллический тренд,5.5546,-0.0,0.0,0.3414,-1.0815,0.9978,0.7799,1644.97,4.29,0.9436,0.0333,0.0231,312798.39,0.0002,-0.0727,1.0
A000356,Number of rooted cubic maps with 2n nodes and a distinguished Hamiltonian cycle: (2n)!(2n+1)! / (n!^2*(n+1)!(n+2)!).,Успешно,Строгий кристаллический тренд,4.1699,-0.0,0.0,3.847,12.888,1.0,0.4941,4.964410820799823e+16,15.75,1.0,0.0,0.0,5.9181475164082615e+29,0.0,1.0,1.0
A000357,Number of 5-level labeled rooted trees with n leaves.,Успешно,Строгий кристаллический тренд,4.2219,-0.0,0.0,4.1244,15.0257,1.0,0.4913,6.423716547144911e+21,18.48,1.0,0.0,0.0,8.373827749264117e+39,0.0,1.0,1.0
A000358,"Number of binary necklaces of length n with no subsequence 00, excluding the necklace ""0"".",Успешно,Строгий кристаллический тренд,5.4269,-0.0,0.0,3.9523,15.8744,1.0,0.6518,17132531.32,16.95,0.9996,0.0004,0.0,247412271727.18,0.0,1.0,1.0
